,brand,year_week,volume_so_off,relative_gap_to_90th_price_off_off,discount_price_comp_to_pr_off_off,distribution_off_off,off_trade_visibility_off,digital_off,digital_social_media_off,out_of_home_off,television_off,brand_experience_off,is_penultimate_week_off,is_year_end_week_off,april,august,december,february,january,july,june,march,may,november,october,september,week_number_tensor,is_covid,weeks_to_ignore_off
66,absolut,201927,57411.41,0.0722560123361345,-0.3178414202158324,0.2684039412670012,28073.542435424355,0.0,3509.41,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
67,absolut,201928,69019.79000000001,0.104407785493626,-0.2785715421470754,0.3026851288688121,11229.416974169742,0.0,2804.91,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
68,absolut,201929,88751.39,0.163063137809009,-0.255389690163515,0.3712475040724338,19651.47970479705,0.0,4017.83,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
69,absolut,201930,42578.97,0.0364402777732561,-0.3760949162749433,0.4055286916742446,8422.062730627307,0.0,3287.32,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0
70,absolut,201931,80227.56,0.1393979064432404,-0.3684655732257691,0.4398098792760554,11229.416974169742,0.0,1073.3,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0
71,absolut,201932,40295.29,0.0243951342263521,-0.3457457060961072,0.4398098792760554,5614.708487084871,0.0,4488.28,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0
72,absolut,201933,68857.88,0.1118148196835785,-0.2879080032889732,0.3198257226697175,19651.47970479705,0.0,3758.24,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0
73,absolut,201934,124569.76,0.2083895671959706,-0.2792864191912554,0.3712475040724338,22458.833948339485,0.0,11941.69,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0
74,absolut,201935,33610.22,-0.0046634398419018,-0.4012567038322103,0.3198257226697175,11229.416974169742,0.0,7085.8,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0
75,absolut,201936,35919.52,0.0077242669918246,-0.3960569602229113,0.3026851288688121,8422.062730627307,0.0,14996.28,0.0,0.0,498133.92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0
76,absolut,201937,67238.57,0.1305080969948849,-0.3320799092846633,0.2341227536651904,16844.125461254614,0.0,10617.3,0.0,0.0,9750.46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0
